timestamp,household_id,usage_liters,household_size,day_of_week,month
2025-01-01 00:00:00,H2,0.06,6,Wednesday,January
2025-01-01 01:00:00,H2,0.44,6,Wednesday,January
2025-01-01 02:00:00,H2,0.0,6,Wednesday,January
2025-01-01 03:00:00,H2,1.05,6,Wednesday,January
2025-01-01 04:00:00,H2,0.75,6,Wednesday,January
2025-01-01 05:00:00,H2,19.96,6,Wednesday,January
2025-01-01 06:00:00,H2,84.04,6,Wednesday,January
2025-01-01 07:00:00,H2,87.16,6,Wednesday,January
2025-01-01 08:00:00,H2,82.27,6,Wednesday,January
2025-01-01 09:00:00,H2,28.06,6,Wednesday,January
2025-01-01 10:00:00,H2,33.55,6,Wednesday,January
2025-01-01 11:00:00,H2,34.08,6,Wednesday,January
2025-01-01 12:00:00,H2,42.46,6,Wednesday,January
2025-01-01 13:00:00,H2,33.4,6,Wednesday,January
2025-01-01 14:00:00,H2,31.66,6,Wednesday,January
2025-01-01 15:00:00,H2,37.17,6,Wednesday,January
2025-01-01 16:00:00,H2,26.42,6,Wednesday,January
2025-01-01 17:00:00,H2,42.59,6,Wednesday,January
2025-01-01 18:00:00,H2,64.74,6,Wednesday,January
2025-01-01 19:00:00,H2,70.32,6,Wednesday,January
2025-01-01 20:00:00,H2,63.28,6,Wednesday,January
2025-01-01 21:00:00,H2,72.23,6,Wednesday,January
2025-01-01 22:00:00,H2,19.55,6,Wednesday,January
2025-01-01 23:00:00,H2,26.72,6,Wednesday,January
2025-01-02 00:00:00,H2,0.0,6,Thursday,January
2025-01-02 01:00:00,H2,1.14,6,Thursday,January
2025-01-02 02:00:00,H2,1.99,6,Thursday,January
2025-01-02 03:00:00,H2,1.65,6,Thursday,January
2025-01-02 04:00:00,H2,0.0,6,Thursday,January
2025-01-02 05:00:00,H2,42.25,6,Thursday,January
2025-01-02 06:00:00,H2,82.95,6,Thursday,January
2025-01-02 07:00:00,H2,72.24,6,Thursday,January
2025-01-02 08:00:00,H2,81.57,6,Thursday,January
2025-01-02 09:00:00,H2,31.06,6,Thursday,January
2025-01-02 10:00:00,H2,26.0,6,Thursday,January
2025-01-02 11:00:00,H2,31.19,6,Thursday,January
2025-01-02 12:00:00,H2,35.14,6,Thursday,January
2025-01-02 13:00:00,H2,36.77,6,Thursday,January
2025-01-02 14:00:00,H2,25.88,6,Thursday,January
2025-01-02 15:00:00,H2,21.4,6,Thursday,January
2025-01-02 16:00:00,H2,30.88,6,Thursday,January
2025-01-02 17:00:00,H2,33.51,6,Thursday,January
2025-01-02 18:00:00,H2,75.15,6,Thursday,January
2025-01-02 19:00:00,H2,78.2,6,Thursday,January
2025-01-02 20:00:00,H2,73.24,6,Thursday,January
2025-01-02 21:00:00,H2,64.67,6,Thursday,January
2025-01-02 22:00:00,H2,35.04,6,Thursday,January
2025-01-02 23:00:00,H2,21.85,6,Thursday,January
2025-01-03 00:00:00,H2,0.1,6,Friday,January
2025-01-03 01:00:00,H2,0.04,6,Friday,January
2025-01-03 02:00:00,H2,2.08,6,Friday,January
2025-01-03 03:00:00,H2,1.94,6,Friday,January
2025-01-03 04:00:00,H2,1.49,6,Friday,January
2025-01-03 05:00:00,H2,36.43,6,Friday,January
2025-01-03 06:00:00,H2,71.21,6,Friday,January
2025-01-03 07:00:00,H2,83.49,6,Friday,January
2025-01-03 08:00:00,H2,78.75,6,Friday,January
2025-01-03 09:00:00,H2,35.08,6,Friday,January
2025-01-03 10:00:00,H2,29.31,6,Friday,January
2025-01-03 11:00:00,H2,27.69,6,Friday,January
2025-01-03 12:00:00,H2,44.33,6,Friday,January
2025-01-03 13:00:00,H2,47.01,6,Friday,January
2025-01-03 14:00:00,H2,25.99,6,Friday,January
2025-01-03 15:00:00,H2,29.63,6,Friday,January
2025-01-03 16:00:00,H2,23.65,6,Friday,January
2025-01-03 17:00:00,H2,15.01,6,Friday,January
2025-01-03 18:00:00,H2,72.0,6,Friday,January
2025-01-03 19:00:00,H2,76.09,6,Friday,January
2025-01-03 20:00:00,H2,72.62,6,Friday,January
2025-01-03 21:00:00,H2,50.5,6,Friday,January
2025-01-03 22:00:00,H2,27.89,6,Friday,January
2025-01-03 23:00:00,H2,16.69,6,Friday,January
2025-01-04 00:00:00,H2,2.37,6,Saturday,January
2025-01-04 01:00:00,H2,0.0,6,Saturday,January
2025-01-04 02:00:00,H2,2.26,6,Saturday,January
2025-01-04 03:00:00,H2,1.95,6,Saturday,January
2025-01-04 04:00:00,H2,0.1,6,Saturday,January
2025-01-04 05:00:00,H2,23.2,6,Saturday,January
2025-01-04 06:00:00,H2,83.5,6,Saturday,January
2025-01-04 07:00:00,H2,71.56,6,Saturday,January
2025-01-04 08:00:00,H2,81.02,6,Saturday,January
2025-01-04 09:00:00,H2,27.1,6,Saturday,January
2025-01-04 10:00:00,H2,19.31,6,Saturday,January
2025-01-04 11:00:00,H2,16.62,6,Saturday,January
2025-01-04 12:00:00,H2,41.81,6,Saturday,January
2025-01-04 13:00:00,H2,35.51,6,Saturday,January
2025-01-04 14:00:00,H2,26.68,6,Saturday,January
2025-01-04 15:00:00,H2,34.18,6,Saturday,January
2025-01-04 16:00:00,H2,37.04,6,Saturday,January
2025-01-04 17:00:00,H2,28.36,6,Saturday,January
2025-01-04 18:00:00,H2,66.59,6,Saturday,January
2025-01-04 19:00:00,H2,75.0,6,Saturday,January
2025-01-04 20:00:00,H2,56.43,6,Saturday,January
2025-01-04 21:00:00,H2,72.23,6,Saturday,January
2025-01-04 22:00:00,H2,33.31,6,Saturday,January
2025-01-04 23:00:00,H2,34.08,6,Saturday,January
2025-01-05 00:00:00,H2,0.0,6,Sunday,January
2025-01-05 01:00:00,H2,0.24,6,Sunday,January
2025-01-05 02:00:00,H2,0.12,6,Sunday,January
2025-01-05 03:00:00,H2,1.1,6,Sunday,January
2025-01-05 04:00:00,H2,1.48,6,Sunday,January
2025-01-05 05:00:00,H2,38.98,6,Sunday,January
2025-01-05 06:00:00,H2,75.05,6,Sunday,January
2025-01-05 07:00:00,H2,75.02,6,Sunday,January
2025-01-05 08:00:00,H2,91.5,6,Sunday,January
2025-01-05 09:00:00,H2,31.78,6,Sunday,January
2025-01-05 10:00:00,H2,37.61,6,Sunday,January
2025-01-05 11:00:00,H2,31.73,6,Sunday,January
2025-01-05 12:00:00,H2,30.74,6,Sunday,January
2025-01-05 13:00:00,H2,29.33,6,Sunday,January
2025-01-05 14:00:00,H2,20.69,6,Sunday,January
2025-01-05 15:00:00,H2,33.97,6,Sunday,January
2025-01-05 16:00:00,H2,37.13,6,Sunday,January
2025-01-05 17:00:00,H2,41.1,6,Sunday,January
2025-01-05 18:00:00,H2,78.43,6,Sunday,January
2025-01-05 19:00:00,H2,81.63,6,Sunday,January
2025-01-05 20:00:00,H2,64.2,6,Sunday,January
2025-01-05 21:00:00,H2,58.44,6,Sunday,January
2025-01-05 22:00:00,H2,35.1,6,Sunday,January
2025-01-05 23:00:00,H2,32.51,6,Sunday,January
2025-01-06 00:00:00,H2,1.11,6,Monday,January
2025-01-06 01:00:00,H2,1.39,6,Monday,January
2025-01-06 02:00:00,H2,1.32,6,Monday,January
2025-01-06 03:00:00,H2,2.28,6,Monday,January
2025-01-06 04:00:00,H2,2.29,6,Monday,January
2025-01-06 05:00:00,H2,33.27,6,Monday,January
2025-01-06 06:00:00,H2,88.46,6,Monday,January
2025-01-06 07:00:00,H2,85.14,6,Monday,January
2025-01-06 08:00:00,H2,75.39,6,Monday,January
2025-01-06 09:00:00,H2,34.54,6,Monday,January
2025-01-06 10:00:00,H2,21.63,6,Monday,January
2025-01-06 11:00:00,H2,36.32,6,Monday,January
2025-01-06 12:00:00,H2,30.44,6,Monday,January
2025-01-06 13:00:00,H2,42.29,6,Monday,January
2025-01-06 14:00:00,H2,24.93,6,Monday,January
2025-01-06 15:00:00,H2,33.32,6,Monday,January
2025-01-06 16:00:00,H2,29.8,6,Monday,January
2025-01-06 17:00:00,H2,20.43,6,Monday,January
2025-01-06 18:00:00,H2,74.21,6,Monday,January
2025-01-06 19:00:00,H2,64.22,6,Monday,January
2025-01-06 20:00:00,H2,78.81,6,Monday,January
2025-01-06 21:00:00,H2,70.01,6,Monday,January
2025-01-06 22:00:00,H2,32.37,6,Monday,January
2025-01-06 23:00:00,H2,24.25,6,Monday,January
2025-01-07 00:00:00,H2,0.41,6,Tuesday,January
2025-01-07 01:00:00,H2,0.54,6,Tuesday,January
2025-01-07 02:00:00,H2,1.86,6,Tuesday,January
2025-01-07 03:00:00,H2,2.68,6,Tuesday,January
2025-01-07 04:00:00,H2,0.19,6,Tuesday,January
2025-01-07 05:00:00,H2,36.46,6,Tuesday,January
2025-01-07 06:00:00,H2,58.3,6,Tuesday,January
2025-01-07 07:00:00,H2,68.06,6,Tuesday,January
2025-01-07 08:00:00,H2,70.41,6,Tuesday,January
2025-01-07 09:00:00,H2,21.88,6,Tuesday,January
2025-01-07 10:00:00,H2,20.5,6,Tuesday,January
2025-01-07 11:00:00,H2,32.48,6,Tuesday,January
2025-01-07 12:00:00,H2,38.29,6,Tuesday,January
2025-01-07 13:00:00,H2,43.04,6,Tuesday,January
2025-01-07 14:00:00,H2,34.14,6,Tuesday,January
2025-01-07 15:00:00,H2,31.59,6,Tuesday,January
2025-01-07 16:00:00,H2,33.95,6,Tuesday,January
2025-01-07 17:00:00,H2,29.58,6,Tuesday,January
2025-01-07 18:00:00,H2,58.13,6,Tuesday,January
2025-01-07 19:00:00,H2,80.58,6,Tuesday,January
2025-01-07 20:00:00,H2,64.11,6,Tuesday,January
2025-01-07 21:00:00,H2,60.64,6,Tuesday,January
2025-01-07 22:00:00,H2,179.99,6,Tuesday,January
2025-01-07 23:00:00,H2,149.94,6,Tuesday,January
2025-01-08 00:00:00,H2,162.71,6,Wednesday,January
2025-01-08 01:00:00,H2,159.47,6,Wednesday,January
2025-01-08 02:00:00,H2,151.36,6,Wednesday,January
2025-01-08 03:00:00,H2,165.04,6,Wednesday,January
2025-01-08 04:00:00,H2,186.81,6,Wednesday,January
2025-01-08 05:00:00,H2,222.14,6,Wednesday,January
2025-01-08 06:00:00,H2,247.84,6,Wednesday,January
2025-01-08 07:00:00,H2,259.06,6,Wednesday,January
2025-01-08 08:00:00,H2,254.96,6,Wednesday,January
2025-01-08 09:00:00,H2,203.05,6,Wednesday,January
2025-01-08 10:00:00,H2,176.31,6,Wednesday,January
2025-01-08 11:00:00,H2,198.07,6,Wednesday,January
2025-01-08 12:00:00,H2,168.1,6,Wednesday,January
2025-01-08 13:00:00,H2,197.22,6,Wednesday,January
2025-01-08 14:00:00,H2,200.54,6,Wednesday,January
2025-01-08 15:00:00,H2,35.67,6,Wednesday,January
2025-01-08 16:00:00,H2,33.0,6,Wednesday,January
2025-01-08 17:00:00,H2,24.73,6,Wednesday,January
2025-01-08 18:00:00,H2,77.42,6,Wednesday,January
2025-01-08 19:00:00,H2,63.62,6,Wednesday,January
2025-01-08 20:00:00,H2,72.17,6,Wednesday,January
2025-01-08 21:00:00,H2,66.97,6,Wednesday,January
2025-01-08 22:00:00,H2,28.69,6,Wednesday,January
2025-01-08 23:00:00,H2,34.6,6,Wednesday,January
2025-01-09 00:00:00,H2,0.0,6,Thursday,January
2025-01-09 01:00:00,H2,2.95,6,Thursday,January
2025-01-09 02:00:00,H2,0.0,6,Thursday,January
2025-01-09 03:00:00,H2,0.4,6,Thursday,January
2025-01-09 04:00:00,H2,1.37,6,Thursday,January
2025-01-09 05:00:00,H2,33.51,6,Thursday,January
2025-01-09 06:00:00,H2,79.0,6,Thursday,January
2025-01-09 07:00:00,H2,79.43,6,Thursday,January
2025-01-09 08:00:00,H2,84.11,6,Thursday,January
2025-01-09 09:00:00,H2,28.61,6,Thursday,January
2025-01-09 10:00:00,H2,38.36,6,Thursday,January
2025-01-09 11:00:00,H2,35.04,6,Thursday,January
2025-01-09 12:00:00,H2,46.98,6,Thursday,January
2025-01-09 13:00:00,H2,32.27,6,Thursday,January
2025-01-09 14:00:00,H2,29.52,6,Thursday,January
2025-01-09 15:00:00,H2,28.2,6,Thursday,January
2025-01-09 16:00:00,H2,23.97,6,Thursday,January
2025-01-09 17:00:00,H2,32.16,6,Thursday,January
2025-01-09 18:00:00,H2,238.32,6,Thursday,January
2025-01-09 19:00:00,H2,257.95,6,Thursday,January
2025-01-09 20:00:00,H2,233.9,6,Thursday,January
2025-01-09 21:00:00,H2,252.01,6,Thursday,January
2025-01-09 22:00:00,H2,185.43,6,Thursday,January
2025-01-09 23:00:00,H2,184.46,6,Thursday,January
2025-01-10 00:00:00,H2,165.99,6,Friday,January
2025-01-10 01:00:00,H2,189.62,6,Friday,January
2025-01-10 02:00:00,H2,145.24,6,Friday,January
2025-01-10 03:00:00,H2,151.73,6,Friday,January
